bank,n_tokens,vocab_size,top1_token,top1_share
Honor_Credit_Union,16,5,online,0.25
BancFirst,84,8,pos,0.25
Achieva_Credit_Union,185,9,card,0.24864864864864866
Redstone_Federal_Credit_Union,254,8,of,0.24803149606299213
BMO_Harris_Bank,49,7,ach,0.24489795918367346
South_Carolina_Federal_Credit_Union,123,5,point,0.24390243902439024
BMO_Bank,82,10,debit,0.24390243902439024
Washington_Trust_Bank,41,10,ccd,0.24390243902439024
DecisionLogic,1067,22,check,0.2436738519212746
Village_Bank,33,8,purchase-sig,0.24242424242424243
Bethpage_Federal_Credit_Union,33,5,point,0.24242424242424243
Citizens_Bank,29,9,check,0.2413793103448276
ICCU,158,6,sale,0.24050632911392406
Enterprise_Bank_&_Trust,21,8,pos,0.23809523809523808
Visions_Federal_Credit_Union,89,7,check,0.23595505617977527
Seacoast_National_Bank,34,8,debit,0.23529411764705882
Flagstar_Bank,30,9,debit,0.23333333333333334
California_Bank_Trust,60,13,check,0.23333333333333334
Canandaigua_National_Bank_&_Trust,52,11,transfer,0.23076923076923078
Bank_of_Oklahoma,48,11,internet,0.22916666666666666
Capitol_Federal,35,5,point,0.22857142857142856
First_State_Bank,35,7,ach,0.22857142857142856
GTE_Federal_Credit_Union,92,8,point,0.22826086956521738
Neighbors_Federal_Credit_Union,27,6,point,0.2222222222222222
Community_Bank,18,8,web,0.2222222222222222
TLC_Community_Credit_Union,36,8,check,0.2222222222222222
Members_Cooperative_Credit_Union,18,8,check,0.2222222222222222
BOK_FINANCIAL,18,6,chk,0.2222222222222222
TriCity_National_Bank,59,7,debit,0.22033898305084745
First_Merchants_Bank,32,11,pos,0.21875
Empower_Federal_Credit_Union,133,17,xfer,0.21804511278195488
Bank_of_America,46,10,ccd,0.21739130434782608
SalemFive,23,5,point,0.21739130434782608
First_IC_Bank,46,13,pos,0.21739130434782608
BMO,70,9,pos,0.21428571428571427
"Capital_One,_N.A",28,7,ach,0.21428571428571427
First_Hawaiian_Bank,28,10,preauthorized,0.21428571428571427
Peoples_Bank_Co.,28,8,chk,0.21428571428571427
First_Community_Bank,19,10,dbt,0.21052631578947367
Independent_Bank,19,6,point,0.21052631578947367
City_National_Bank,48,10,ccd,0.20833333333333334
BankFirst,53,14,check,0.20754716981132076
Grasshopper_Bank,58,10,cr,0.20689655172413793
First_1_Bank,34,7,debit,0.20588235294117646
Horizon_Bank,44,9,check,0.20454545454545456
Amegy_Bank,137,24,check,0.20437956204379562
Ponce_Bank,64,8,internet,0.203125
Gate_City_Bank,109,9,of,0.2018348623853211
